wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
CqyTUueWZJkdcJRJ6ZaZxAXvDQFGoFnL5hkEC9nxQz5o,1787074995,2026-08-18T17:43:15Z,42286.98089181025,1787076208,2026-08-18T18:03:28Z,4,4,8.08349678,9.536242336,1712933.8132528511,1712933.8132528511,0.0,1.4527455559999998,109.62417965575997,20.22,True,8,False
5Wy2s4wKGCMmA9j6on6saWZwZ6h8pbz6QMVBCSUixP2U,1786839254,2026-08-16T00:14:14Z,43456.42402557437,1786840010,2026-08-16T00:26:50Z,2,1,2.5080392799999998,3.9563317700000002,3201663.321046572,3201663.321046572,0.0,1.448292490000001,109.28815129540006,12.6,True,3,True
HPiAxtK5UGhaNTjNPqDn9WijfQhZ6YEqgHc5MeLZUiba,1786828879,2026-08-15T21:21:19Z,42618.79429290017,1787524098,2026-08-23T22:28:18Z,3,4,5.990799081,7.334824674999999,2645025.705142898,2645095.030533268,0.0,1.344025594000001,101.42017132324007,11586.98,True,7,True
57C1yd7d54aRvNJa8R6g8jppDHcgND9bo3YmvcRJ9e8F,1786828863,2026-08-15T21:21:03Z,32952.50693277181,1786839780,2026-08-16T00:23:00Z,2,3,6.06304478,7.336412355,8312175.535851877,8312175.535851877,0.0,1.2733675750000006,96.08831720950003,181.95,True,5,True
AzYbZ251ivYsTMdgtQfBMouAtcoNgMxtB7JsU7ERCmik,1786828862,2026-08-15T21:21:02Z,30597.240738538498,1786828924,2026-08-15T21:22:04Z,1,5,2.627777831,3.7664355830000003,4679803.199268404,4679803.199268404,0.0,1.1386577519999999,85.92311396591998,1.03,True,6,True
8n79PwcyrybEECM3ghGetPnm6Y2SRBVzJNd536Z1C1PU,1786839759,2026-08-16T00:22:39Z,52318.738467192765,1787270165,2026-08-20T23:56:05Z,12,7,36.100228517,37.165227268,4775003.710052902,4775003.710052901,9.313225746154785e-10,1.064998751000005,80.36480575046036,7173.43,True,19,True
AJGU1reuw27UFzBYBNxFnqXKGWgNZgTBM6CjjdjMTKXo,1786828862,2026-08-15T21:21:02Z,30184.81023965911,1786828924,2026-08-15T21:22:04Z,1,5,2.376500729,3.436230166,4289762.965815663,4289762.965815663,0.0,1.059729437,79.96718331602,1.03,True,6,True
28XmmbBDVXEWQ65Cxi1SL6196Fx1jK6dg6yTiFx5M6eT,1786828792,2026-08-15T21:19:52Z,25039.76311607542,1786829094,2026-08-15T21:24:54Z,9,1,2.1744392800000005,3.081855029,4061864.498806284,4061864.498806284,0.0,0.9074157490000002,68.47359241954001,5.03,True,10,True
3xqUaVuAWsppb8yaSPJ2hvdvfjteMq2EbdCc3CLguaTE,1786828924,2026-08-15T21:22:04Z,45892.949045312576,1787423302,2026-08-22T18:28:22Z,2,2,1.5230392799999999,2.35933003,638131.13220583,638131.13220583,0.0,0.8362907500000001,63.106499995,9906.3,True,4,True
8g1mx4TgKsvEGM7a8GM5yVRuC7k6gmjgdht5NbFzfNy6,1787075281,2026-08-18T17:48:01Z,52056.92807546461,1787075452,2026-08-18T17:50:52Z,1,14,0.50303928,1.2987191939999998,523801.069749868,523801.069749868,0.0,0.795679914,60.04200631044,2.85,True,15,False
FTnPR7WkXFU5VZ3UN6FUkR79ichSS5fsFnuVc9HVaCqu,1786828868,2026-08-15T21:21:08Z,37159.42515293466,1786828903,2026-08-15T21:21:43Z,1,1,2.549725928,3.272818504,3725421.533554542,3725421.533554542,0.0,0.7230925760000001,54.56456578496,0.58,True,2,True
Accym1M1qybvC63A5yUPHKkojjHMrGhGyySi57QjEqXz,1786828868,2026-08-15T21:21:08Z,37616.95804551671,1786828903,2026-08-15T21:21:43Z,1,1,2.4728156319999997,3.179171734,3568609.226497918,3568609.226497918,0.0,0.7063561020000004,53.30163145692003,0.58,True,2,True
FatpigGT9U4fzPZPu94Q3WeZvCKqewjWJbZoQRBQWYyU,1786828864,2026-08-15T21:21:04Z,33470.598183927184,1786842075,2026-08-16T01:01:15Z,12,6,9.351401711000001,9.966462533000001,10113604.569645295,10113604.569645293,1.862645149230957e-09,0.6150608220000005,46.41248962812003,220.18,True,18,True
D4jxiBiEmELbBtycKWqE7127RYKXrdRxKCU3SjWiQtC4,1786839759,2026-08-16T00:22:39Z,56201.9701250698,1786842702,2026-08-16T01:11:42Z,2,3,3.8354436720000002,4.407602213,3773526.704107753,3773526.704107753,0.0,0.5721585409999993,43.175083503859945,49.05,True,5,True
