wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0x18ace1a4d09735932a02ddf1df8a3a98d2b3e717,12,5727725.370452911,5727725.370452911,0.38211598233893806,676.2382880087324,0.0,0.0,0.0,9.313225746154785e-10,0.0,False,False,6729.460411675739,51165960,0.2563271633796273,single,True,0.0,0.0,9.313225746154785e-10
0xc711d1720f5a72a552804884bb433e7fd4a177de,12,5515151.212971399,5515151.212971399,0.36888328356038996,652.8201166122707,0.0,0.0,0.0,0,0.0,False,False,6988.838499796453,51165960,0.2563271633796273,single,True,0.0,0.0,-9.313225746154785e-10
0x4834f12ffe7e351061e1247ccbaca3ab4811ec98,15,7438840.403732688,7438840.403732687,0.3425102138037451,606.147168172367,9.313225746154785e-10,0.0,-9.313225746154785e-10,2.3283064365386963e-10,0.0,False,False,4710.472825120899,51165960,0.2563271633796273,single,True,0.0,-9.313225746154785e-10,2.3283064365386963e-10
0xd84716a1ed1f8ec208e4da8f69a5892dd4d0f647,11,6909442.5742464755,6909442.5742464755,0.3327057714166792,588.796050602967,0.0,0.0,0.0,0,0.0,False,False,88320.21361208284,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x03c4c0b0c0fac57aef400242b72b2511a9e668da,8,4833756.1516659865,4833756.1516659865,0.3230289470198318,571.6707811404591,0.0,0.0,0.0,0,0.0,False,False,153957.1762554576,51165960,0.2563271633796273,single,True,0.0,0.0,-2.3283064365386963e-10
0x662053fd75f1f7da7e524d884b96552a13d2800b,4,12656829.113139369,12656829.113139369,0.3155796271861848,558.48757100541,0.0,0.0,0.0,0,0.0,False,False,178307.2591680321,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x93c883963af898ab7c41ef9250f9eed71506eb52,14,2731077.332876418,2352056.980403266,0.31549763493033456,558.3424676721583,379020.35247315187,0.32937967523799433,-379020.02309347666,379020.3524731514,0.08442895782865795,True,False,58550.58356035752,51165960,0.2563271633796273,single,False,379020.35247315146,-4.0745362639427185e-10,379020.3524731518
0x859606146d3e8572389464e4736ce99b7b593f28,20,8131459.120725166,8131459.120725167,0.3034031802112983,536.9386695281024,-9.313225746154785e-10,0.0,9.313225746154785e-10,0,0.0,False,False,38421.85311374552,51165960,0.2563271633796273,single,True,0.0,9.313225746154785e-10,-5.820766091346741e-10
0x14078a75f65dc072fe76960aa2769157e443b1d1,7,3784489.8929529414,3784489.8929529414,0.3028193637785857,535.9054779234165,0.0,0.5529422429975043,0.5529422429975043,0,0.14173411666031885,True,False,9281.54273456074,51165960,0.2563271633796273,single,False,0.0,0.0,0.0
0x3758617c52b402d7b5a522644499fe37d8c23d36,20,8099180.010524344,8099180.010524343,0.28980110884085625,512.8668120762949,9.313225746154785e-10,0.0,-9.313225746154785e-10,0,0.0,False,False,37382.523176561815,51165960,0.2563271633796273,single,True,0.0,-9.313225746154785e-10,6.402842700481415e-10
0x0c60b95f733dd763433af9f4ade6a5a0d389a52d,8,11004869.895982089,11004869.895982089,0.2858466851489084,505.8685894656216,0.0,0.0,0.0,0,0.0,False,False,62757.985981473576,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x64714fd00870eda8c853d4231712dda3d3bcd9df,2,11095125.890413268,2771007.6911307136,0.2846815590004245,503.80664244330086,8324118.199282554,0.0,-8324118.199282554,8324118.199282554,0.0,False,False,63801.70881784302,51165960,0.2563271633796273,single,False,8324118.199282553,-9.313225746154785e-10,8324118.199282554
0x1870c9f785a92dffcbababc1b1a2cc17ed2be369,14,4430575.226648093,4430575.226648093,0.2783282370499769,492.5630416584268,0.0,0.0,0.0,5.820766091346741e-11,0.0,False,False,60786.98548892494,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x57905a83f54bf1bee1eb04361debbed3ebe38d8c,2,9939289.139658991,9939289.139658991,0.27622973973202297,488.84928903023825,0.0,0.0,0.0,0,0.0,False,False,17627.244302803534,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x7ed532770d81e5b87d445b35559124485e3a9aed,14,4428910.887442698,4428910.887442698,0.2734046622290425,483.84969293270336,0.0,0.0,0.0,0,0.0,False,False,61667.63404066089,51165960,0.2563271633796273,single,True,0.0,0.0,9.313225746154785e-10
0x170cb01cf23b17399bae7c65d2ba926f9a112276,5,5544155.906154468,5544155.906154468,0.27133389335780217,480.18501189063363,0.0,0.0,0.0,0,0.0,False,False,63202.5075869465,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x69e8397b4594d90696726a662c52a8795214dce6,21,2771481.4507689145,2587515.2346466533,0.2625161238726555,464.5800290678997,183966.21612226125,0.0,-183966.21612226125,183966.21612226145,0.0,False,False,57529.40486988136,51165960,0.2563271633796273,single,False,183966.21612226157,3.2014213502407074e-10,183966.21612226122
0x1321622d2ea9e253c951a403b556e8a54821809c,21,2752799.811014078,2570073.650305394,0.2615663998817692,462.8992835472685,182726.160708684,0.0,-182726.160708684,182726.16070868366,0.0,False,False,57191.008343292095,51165960,0.2563271633796273,single,False,182726.16070868378,-2.3283064365386963e-10,182726.16070868424
